freq,Base,H35L,H35R,H50L,H50R,BE50L,BE50R,BE70L,BE70R,BE50BL,BE70BL
0.0,0.20254515474979518,0.11258432522045653,0.11838610919452953,0.1356859067998267,0.1428872793550623,0.10194357843860977,0.15497521014879884,0.11976927878347327,0.10767764580996773,0.0877654871921405,0.1701171427286194
0.015625,0.15736998591241338,0.1201683041920239,0.10960539958828881,0.13609979323617952,0.12362002187665978,0.12744670855404852,0.15301071175827105,0.1130545192691166,0.12488502314851276,0.10392267119931124,0.13150114995033602
0.03125,0.14365370740580402,0.14981021161709743,0.15013627184674144,0.14884635021888173,0.20508189449234585,0.12765912730670637,0.16032357220390045,0.12323142953694802,0.12171348941963883,0.1926172435971104,0.1490013524052919
0.046875,0.16984809220929684,0.19104863915306647,0.1481462571576243,0.16495962572841366,0.18728618650677972,0.1340906291007629,0.11559385995116289,0.12903527596218434,0.1617103191325949,0.20023897040492564,0.16098268861993945
0.0625,0.21002639141485335,0.1670131683568445,0.19320328787640817,0.1799197416988037,0.16994029655934398,0.1638594073467706,0.17713198653135975,0.21981100762118988,0.17135807627011368,0.1809537716849307,0.15626619907281183
0.078125,0.25799391544072947,0.1776534154441612,0.24112897925472204,0.14343625700061394,0.23136851122102453,0.15523024819366862,0.21295687978747257,0.22505968302575757,0.22658029690221615,0.16965109979261245,0.1793405635792882
0.09375,0.33261374847198083,0.161405781799497,0.21382445663184615,0.15791244954823574,0.182100734104552,0.19464747759400075,0.23176917849826517,0.25337557639246433,0.21904941105413459,0.17354404152636424,0.15966226644383966
0.109375,0.33554449137468045,0.17872022432059395,0.19594834812117157,0.17830543399645174,0.23618311823118218,0.21154997333138917,0.25277489015480176,0.196684083691321,0.21158525184366717,0.21728133748753442,0.17736749334454624
0.125,0.39362196051167975,0.2113202275357103,0.241098406857759,0.2773110639914663,0.22251363686224057,0.21407218079545084,0.27116953277892725,0.22215943005785874,0.2134751117213306,0.23149437902118322,0.20809261411893062
0.140625,0.4155330456908729,0.26319874319379644,0.25896802709446454,0.23792681599697862,0.2630149715566775,0.2563663602601367,0.24656957936110196,0.21229935926617757,0.20771376586257534,0.248877056821616,0.14866619638055537
0.15625,0.44195623402914935,0.3355021789198229,0.29288768495497286,0.22225997621874102,0.3002655165427331,0.24959212975003753,0.2987732448307656,0.2797774146708122,0.3227038644176867,0.2892987651141405,0.16988969113118116
0.171875,0.473248811365067,0.2905947703942793,0.29487510918212395,0.26909689165500306,0.32973697839065724,0.2936032344057701,0.33361010925787576,0.3080268553360165,0.3181304898233734,0.3303413336327501,0.25995766941104237
0.1875,0.48200144245934834,0.33141632700584805,0.3235769448592859,0.3179048246621119,0.31350790573848125,0.3033559268290872,0.3795098675463733,0.2632358422664262,0.3297772402950365,0.3551972538507493,0.25569047453802846
